ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,WC_bio12,lon,lat
1,1,454,15.899999618530273,13.300000190734863,46.400001525878906,515,-118.679268,34.241011
2,1,330,9.300000190734863,11.100000381469727,8.760000228881836,947,-81.919972,41.065983
3,1,775,10.600000381469727,14.699999809265137,7.789999961853027,261,-116.633376,43.545839
4,1,106,14.300000190734863,11.699999809265137,29.579999923706055,523,-122.109887,37.334006
5,1,188,17.299999237060547,12.899999618530273,35.5,342,-117.028476,33.073352
6,1,1477,19.899999618530273,16.600000381469727,29.31999969482422,915,-103.091982,20.585034
7,1,164,18.600000381469727,12.100000381469727,6.449999809265137,869,-97.125802,32.788
8,1,189,9.399999618530273,9.199999809265137,0.9900000095367432,852,-82.829851,42.172953
9,1,777,15.399999618530273,14.100000381469727,100.06999969482422,579,-118.16609,34.199578
10,1,1675,9.800000190734863,15.800000190734863,9.729999542236328,423,-104.923544,39.659195
11,1,150,11.899999618530273,11.899999618530273,9.819999694824219,1035,-77.203604,39.172728
12,1,120,18.399999618530273,12.600000381469727,4.050000190734863,936,-96.663259,32.625827
13,1,149,18.5,12.5,5.320000171661377,928,-96.679373,32.613759
14,1,1432,12.100000381469727,14.300000190734863,88.54000091552734,678,-116.571541,32.985739
15,1,167,15.199999809265137,11.899999618530273,61.56999969482422,469,-119.852198,34.442622
16,1,95,18.299999237060547,11.800000190734863,11.300000190734863,394,-118.23646,34.082477
17,1,180,18,12.5,5.269999980926514,958,-96.896588,33.129588
18,1,325,10.800000190734863,12.5,27.790000915527344,1059,-79.858185,39.679206
19,1,119,12.5,12.5,14.960000038146973,1015,-77.601182,38.8368
20,1,1607,8.600000381469727,14.199999809265137,96.529998779296875,569,-111.916655,40.95728
21,1,253,19.399999618530273,12.300000190734863,7.800000190734863,838,-97.68942,30.487013
22,1,153,6.400000095367432,10.199999809265137,6.889999866485596,872,-77.316905,44.478158
23,1,5,21.399999618530273,9.699999809265137,1.2400000095367432,983,-96.818643,28.442055
24,1,207,17.899999618530273,13.100000381469727,30.860000610351562,442,-118.243362,34.086357
25,1,362,4.400000095367432,12.600000381469727,12.949999809265137,816,-89.106496,46.504781
26,1,207,17.899999618530273,13.100000381469727,30.860000610351562,442,-118.239745,34.08345
27,1,228,10.800000190734863,11.300000190734863,3.0799999237060547,965,-88.277521,40.152654
28,1,208,17.200000762939453,12.300000190734863,27.270000457763672,336,-117.043767,32.84855
29,1,123,18.399999618530273,12.699999809265137,4.090000152587891,950,-96.500387,32.609302
30,1,13,12.100000381469727,8.5,3.9000000953674316,1136,-73.992924,40.657551
31,1,149,23,14.600000381469727,9.539999961853027,104,-114.571297,34.799908
32,1,1393,14.199999809265137,19.5,12.899999618530273,239,-106.863766,33.80992
33,1,2174,16.600000381469727,15.800000190734863,45.439998626708984,489,-100.509697,21.191064
34,1,28,6.199999809265137,10.600000381469727,3.7799999713897705,981,-73.379078,45.525041
35,1,39,9.600000381469727,8.699999809265137,19.280000686645508,1100,-123.899519,49.108379
36,1,1668,19.799999237060547,16.200000762939453,44.58000183105469,852,-102.313808,20.189778
37,1,13,9.699999809265137,11,9.550000190734863,1119,-71.154973,42.395133
38,1,177,8.399999618530273,9.399999618530273,2.450000047683716,943,-79.068283,42.951176
39,1,25,16.200000762939453,15.100000381469727,10.25,490,-121.849163,39.330135
40,1,208,9.399999618530273,11.5,2.6700000762939453,931,-88.185218,41.735315
41,1,364,7.099999904632568,11.899999618530273,36.06999969482422,1092,-73.28762,42.45348
42,1,213,20.5,12,6.010000228881836,704,-98.388508,29.421318
43,1,36,15.5,13.699999809265137,12.369999885559082,524,-121.990184,38.266815
44,1,52,17,8.800000190734863,18.200000762939453,275,-117.231599,32.789203
45,1,14,11.699999809265137,10,7.920000076293945,1173,-74.102538,40.78229
46,1,491,14.399999618530273,18.5,63.189998626708984,401,-121.119853,36.512599
47,1,281,15.600000381469727,15.800000190734863,30.149999618530273,557,-120.415306,37.701207
48,1,168,7.599999904632568,9.699999809265137,3.740000009536743,791,-79.647266,43.743633
49,1,28,6.199999809265137,10.600000381469727,3.7799999713897705,981,-73.393671,45.523325
50,1,163,18,12.5,3.819999933242798,938,-96.918472,33.164142
51,1,103,25,9.199999809265137,48.18000030517578,2328,-65.809626,18.228146
52,1,4,15.899999618530273,14.699999809265137,1.190000057220459,453,-121.620463,38.537183
53,1,64,17,12.100000381469727,2.059999942779541,1265,-91.996786,34.236676
54,1,1169,13.5,11.899999618530273,60.36000061035156,348,-118.820093,34.781698
55,1,188,15.5,13,9.6899995803833,1418,-86.807954,34.564536
56,1,903,8.699999809265137,13.800000190734863,37.22999954223633,490,-118.056616,45.33202
57,1,1155,21.200000762939453,18,22.170000076293945,235,-103.432709,25.541072
58,1,57,10.699999809265137,12.300000190734863,9.260000228881836,1186,-74.794802,40.510283
59,1,641,7.599999904632568,11.5,86.55999755859375,301,-119.581527,49.3498
60,1,28,20.200000762939453,11,2.2899999618530273,1223,-95.289905,29.996816
61,1,3,20.700000762939453,9.600000381469727,0.9100000262260437,1312,-95.275152,29.060491
62,1,128,15,12.300000190734863,5.75,1337,-88.908885,35.698066
63,1,2311,15.399999618530273,17,22.34000015258789,678,-99.093368,19.896459
64,1,462,22.200000762939453,12.300000190734863,11.520000457763672,648,-100.213622,25.731397
65,1,97,8.399999618530273,11.800000190734863,10.520000457763672,958,-73.93222,42.701303
66,1,2134,7.300000190734863,17.700000762939453,72.160003662109375,480,-107.872063,37.287297
67,1,10,15.800000190734863,14.899999618530273,0.9399999976158142,466,-121.72537,38.570275
68,1,563,14.399999618530273,12.800000190734863,118.72000122070312,606,-119.581393,34.420344
